name,address,desc,price
Hudson Street Wineries,"428 Hudson St., Healdsburg CA 95448","Explore wines from five different producers at this relaxed, spacious tasting room. The knowledgeable, friendly staff will create a special and memorable side-by-side tasting experience.",No price data available
Icaria Creek Winery,"27750 Asti Road, Cloverdale CA 95425",Visit the boutique winery at this 50-acre ranch nestled in Alexander Valley by appointment to taste fine artisan food wines.,No price data available
Imbimbo Family Winery,"3134 Coffey Ln, Santa Rosa CA 95403",This family winery takes great care in producing fine wines and has been bringing quality wine to your table for over 30 years.,No price data available
Inspiration Vineyards,"3360 Coffey Lane - Suite E, Santa Rosa CA 95403","Inspiration Vineyard's mission is to produce high quality, food friendly wines at an affordable price for the consumer. They use the finest quality grapes grown in an appropriate terroir.",No price data available
Iron Horse Vineyards,"9786 Ross Station Road, Sebastopol CA 95472","You might catch a rainbow when the sun breaks through the morning mist at this simply elegant setting. The Tasting Room is “al fresco,” with incomparable views of rolling hills, colorful vines, and abundant avian life.",No price data available
J Rickards Winery,"24505 Chianti Road, Cloverdale CA 95425",J.Rickards Winery is a family-run operation located at the northern end of the Alexander Valley in Sonoma County.The passion and daily connection of ownership in the operation and making of the wines is evident.,No price data available
J Rochioli Vineyards & Winery,"6192 Westside Road, Healdsburg CA 95448","Bring a picnic lunch to enjoy beautiful views of the vineyard from the patio after your tasting. Join the wait list for access to the limited production, single vineyard wines that you won’t find in the tasting room.",No price data available
J. Keverson Winery,"53 Front St, Healdsburg CA 95448","The handcrafted, single-vineyard wines of J. Keverson began in a garage with four friends. Visit the Healdsburg tasting room and meet the experts who will guide you through each wine you taste.",No price data available
Jacuzzi Winery,"24724 Arnold Drive, Sonoma CA 95476","Featuring beautiful grounds and a picnic area overlooking the vineyards, this welcoming winery invites you to its sizable tasting room to sip, learn about the wines, and find the perfect bottle to take home.",No price data available
Jigar Wines,"6615 Front St, Forestville CA 95436",You’ll love the adorable downtown tasting room of this boutique winery. Join the Wine Club and be invited to exclusive club events featuring food and live music.,No price data available
JJ Custom Wines,"4080 Old Redwood Hwy, Santa Rosa CA 95403","Those with a sophisticated palate will want to try an exclusive, custom made wine. Experienced professionals provide only the most diligent assistance to discerning customers.",No price data available
Jordan Vineyard & Winery,"1474 Alexander Valley Road, Healdsburg CA 95448",Make reservations to tour and taste at this elegant winery. Enter the estate to be greeted by the French-style chateau. You’ll wander through the library and into the tasting room for a formal experience.,No price data available
Joseph Family Vineyards,"10300 Highway 128, Healdsburg CA 95448","This small, family business produces Cabernet Sauvignon in Alexander Valley. Their wine can be found in restaurants throughout California and across the country.",No price data available
Joseph Jewell Wines,"6542 Front St, Forestville CA 95436","A sleek, elegant new tasting room in charming downtown Forestville, where small-batch, hand crafted wines are capably served. Become more informed while enjoying samples at the table or in the lounge.",No price data available
Joseph Swan Vineyards,"2916 Laguna Road, Forestville CA 95436","Located in the heart of the famed Russian River Valley,the Joseph Swan winery makes more than 25 different wines each year.",No price data available
Kachina Vineyards,"7462 West Dry Creek Road, Healdsburg CA 95448",Enjoy an intimate wine tasting experience while learning from the passionate winemakers at this boutique winery located on beautiful property.,No price data available
Kamen Estate Wines,"111B East Napa Street, Sonoma CA 95476",You’ll find excellent red wines at this small tasting room located off the Square. Your friendly guide will explain the wines as they pour and provide information and history about the winery.,No price data available
Karah Estate Vineyards,"1010 W Railroad Ave, Cotati CA 94931","Commited to the wine making process, and to the people who love a well-aged wine, the vineyard has created a product the Karah family is proud to release to the community.",No price data available
Kastania Vineyards,"4415 Kastania Road, Petaluma CA 94952",Kastania vineyards makes their wines in small lots from premium Estate grown grapes. Their Burgundy and Bordeaux varieties are influenced by the vineyard’s distinct terroir and the maritime impact.,No price data available
Kaz Winery,"1435 Big Valley Road, Lakeport CA 95453","This welcoming and quirky winery is friendly to dogs, kids, and family picnics. The relaxed staff is helpful and you may get to meet Kaz himself as you taste complex reds and bold blends.",No price data available
Keating Wines,"23564 Arnold Dr, Sonoma CA 95476","Visit the tasting room at Cornerstone Sonoma and experience friendly, personable service from this small-production winery.",No price data available
Keller Estate Winery & Vineyards,"5875 Lakeville Highway, Petaluma CA 94954",Wine Business Monthly named Keller Estate as “One of the Top 10 Hot Brands of 2015.” Come visit us and experience the best!,No price data available
Kelley & Young Wine Garden Inn,"428 Hudson St, Healdsburg CA 95448",This limited production winery has developed a dedicated following. Taste the Alexander Valley wines of Kelley & Young at the Hudson Street Wineries in Healdsburg.,No price data available
Kendall-Jackson Wine Estate & Gardens,"5007 Fulton Road, Fulton CA 95439","Visit a magnificent chateau set among 120 acres of vineyards, tour a culinary sensory garden, tasting room and food and wine pairings with Chef Justin Wangler.",No price data available
Ketcham Estate Winery,"1083 Vine St, Healdsburg CA 95448",Make an appointment to visit the vineyard and enjoy tastings of Pinot Noir with the winemakers.,No price data available
King's Hill Cellars,"3404 Kings Hill Rd, Santa Rosa CA 95404",Members of the wine club get to share the unique experience of assisting in the winemaking process and personalizing their finished product. Tour the property and enjoy impressive views by appointment.,No price data available
Kistler Vineyards,"4707 Vine Hill Road, Sebastopol CA 95472","By appointment, visit this winery and newly remodeled tasting room to try award-winning wines. The beautiful property offers sweeping views, a lovely cottage and a serene pond.",No price data available
Kivelstadt Cellars,"13750 Arnold Drive , Glen Ellen CA 95476","Not your traditional wine tasting experience. Wine is served straight out of kegs! Flights are $15-20 and include mixed, red wine only and white wine only options (depending upon availability of wines).",No price data available
Kobler Estate Winery,"107 W North Street, Healdsburg CA 95448",Expect to be treated like family at this friendly winery located a few blocks off the square in Healdsburg. This family-run winery is quickly establishing a reputation and earning awards.,No price data available
Kokomo Winery,"4791 Dry Creek Rd., Healdsburg CA 95448",Enter the spacious tasting room and learn the history of Kokomo and all about the wines they make. This fun and friendly space hosts several events throughout the year.,No price data available
Korbel Champagne Cellars,"13250 River Road, Guerneville CA 95446",Premium California champagne has been Korbel Champagne Cellars' focus since the company was founded in Sonoma County's Russian River Valley in 1882.,No price data available
Korbin Kameron,"13647 Arnold Dr, Glen Ellen CA 95442",This family-run operation in Glen Ellen offers a refreshing tasting experience and atmosphere. Enjoy personal service from the owners who are clearly passionate about what they do.,No price data available
Kosta Browne Winery,"220 Morris St, Sebastopol CA 95472","Open only to members, a private visit of this winery may include barrel tastings and an informative tour. Many of the restaurants that feature Kosta Browne Wines are Michelin starred.",No price data available
Krutz Family Cellars,"3354 Coffey Lane Ste A, Santa Rosa CA 95403",Make an appointment to visit this friendly family-owned winery and experience a personalized tour and taste from the barrels.,No price data available
Kunde Family Winery,"9825 Sonoma Hwy, Kenwood CA 95452","Take a unique tour 1400 feet above the valley floor for a one of a kind outing, or just relax in the welcoming tasting room. Revel in the beauty of the view while enjoying an outdoor tasting.",No price data available
La Crema Tasting Room,"235 Healdsburg Avenue, Healdsburg CA 95448","Located just off the bustling Healdsburg Square, stop by our contemporary lounge to sniff, sip and swirl our exceptional cool-climate Pinot Noirs, Chardonnays and more.",No price data available
La Follette Wines,"180 Morris St #160, Sebastopol CA 95472","Taste Chardonnays, Pinots, and olive oil at this open and welcoming tasting room located in the Barlow.",No price data available
Lake Sonoma Winery,"777 Madrone Road, Glen Ellen CA 95442",Visit their recently reopened tasting room on the Sonoma Square and chat with the knowledgeable staff while tasting the different varietals.,No price data available
Lambert Bridge Winery,"4085 W. Dry Creek Road, Healdsburg CA 95448","The estate of this winery features beautiful grounds and offers a spacious, elegant tasting room with a bar and a red barrel room in which you can enjoy food and wine pairings.",No price data available
Lancaster Estate Winery,"15001 Chalk Hill Road, Healdsburg CA 95448",Visit the lovely estate and be sure to take the tour of the boutique vineyard and wine caves before you begin your tasting.,No price data available
Landa Vineyards,"1990 East Napa Street, Sonoma CA 95476",This boutique family winery features multiple award winning Syrah and Viognier wines. The vineyards are not currently open for public visits.,No price data available
Larson Family Winery,"23355 Millerick Road, Sonoma CA 95476","Look for the winery dogs wandering the property of this family-friendly winery that accommodates kids and includes bocce, corn hole, and a picnic area. Enjoy a sunny day outdoors while you taste.",No price data available
LaRue Wines,"6761 Sebastopol Ave, Sebastopol CA 95472",Schedule an appointment to taste the Pinot Noirs of LaRue Wines at the Kamen winemaking facility.,No price data available
Lasseter Family Winery,"1 Vintage Lane, Glen Ellen CA 95442","Take the dirt road leading up to this quaint winery and enter the sophisticated tasting room at Lasseter where you’ll see ceiling-high wine displays. Enjoy storytelling, barrel tasting, and an excellent experience.",No price data available
Laurel Glen Vineyard,"969 Carquinez Avenue, Glen Ellen CA 95442","This intimate tasting room will wow you with amazing Cabernet, a warm welcome, and a personalized experience.",No price data available
Lauterbach Cellars,"3420 Woolsey Rd, Windsor CA 95492",The knowledgeable staff at this impressive winery enjoy sharing stories and chatting about their small batch Pinots and Syrah.,No price data available
Leaf and Vine,"1884 McSween Lane, Petaluma CA 94974",The single-vineyard wines of this winery are produced by a father and son team. Call them for a tour and tasting and to hear their story.,No price data available
Libarle Vineyards,"9100 Poplar Ave, Cotati CA 94931","This small, family owned vineyard specializes in Pinot Noir in small batches. Make an appointment for a tour and tasting.",No price data available
Limerick Lane Cellars,"1023 Limerick Lane, Healdsburg CA 94558","Enjoy a wealth of knowledge and history about the wine and vineyard from your host at this quaint, charming winery. Tour the grounds and taste old vine Zinfandels.",No price data available
LIOCO Winery,"1160 Hopper Lane, Santa Rosa CA 95403",Choose from several tasting options including charcuterie or a private tasting at your hotel with LIOCO or visit for one of their lunch series.,No price data available
Little Vineyards Family Winery,"15188 Sonoma Highway, Glen Ellen CA 95442",Consistently good and interesting wines are produced from the Little Vineyards Family Winery. Stop by the taste one of their world class wines.,No price data available
Littorai Wines,"788 Gold Ridge Road, Sebastopol CA 95472","Littorai Winery is a place of extraordinary discovery where every corner you turn is a different experience from the last. A visit to Littorai is more than a tasting, it's a total experience.",No price data available
Locals Tasting Room,"21023 Geyserville Avenue, Geyserville CA 95441",This tasting room features collections from 10 local wineries. Select which wines you’d like to taste and enjoy learning about each pour from the knowledgeable staff.,No price data available
Longboard Vineyards,"5 Fitch Street, Healdsburg CA 95448","This casual, friendly winery offers a laidback, surfer atmosphere. Meet with the winemaker to learn about the wines and do a barrel tasting.",No price data available
Lost Canyon Winery,"123 Fourth St, Santa Rosa CA 95401","Enter the modern, casual space for a relaxing and personalized tasting experience of their Pinot Noir, Syrah, and Chardonnay.",No price data available
Loxton Cellars,"11466 Dunbar Road, Glen Ellen CA 95442",The small tasting/barrel room creates a unique and casual tasting experience. Enjoy great customer service and you’ll likely meet the winemaker.,No price data available
Lynmar Estate Winery,"3909 Frei Road, Sebastopol CA 95472","Sit on the patio and overlook the beautiful garden and vineyards at this beautiful winery. You’ll enjoy fine Chardonnay and Pinot Noir with knowledgeable, down-to-earth staff. Open seven days a week, 10AM – 4:30PM by reservation only.",No price data available
MacLaren Tasting Lounge,"27 E Napa Street, Suite E, Sonoma CA 95476",A family owned winery specializing in cool climate Syrah. They also make small quantities of Sauvignon Blanc and Pinot Noir.,No price data available
MacLeod Family Vineyard,"740 Lawndale Rd, Kenwood CA 95452","Get the total experience, beginning with an intimate chat with the owner about the history of the winery. You’ll feel like family as you explore the vineyards and taste award winning wines.",No price data available
MacMurray Ranch,"9015 Westside Road, Healdsburg CA 95448","Though not open to the public, their excellent Pinot Noir can be purchased online and club members can attend private events at the ranch.",No price data available
Macrae Family Winery,"9380 Sonoma Hwy 12, Kenwood CA 95452","Producing limited quantities, Macrae wines feature earthy and rose petal aromas with complex layers.",No price data available
MacRostie Winery & Vineyards,"21481 8th Street East #25, Sonoma CA 95476","Enjoy a high-end, personalized tasting experience, beginning with a complementary glass of wine to greet you at the parking lot. The modern tasting room provides 360 degree views of the valley with seating indoors and out.",No price data available
Madrone Estate Winery,"777 Madrone Road, Glen Ellen CA 95442","Taste small-lot wines in an incomparable place. An original stone barrel cellar, sunny patios, bocce court and open vistas welcome you to the heart of Sonoma Valley.",No price data available
Malm Cellars,"119 W North St, Healdsburg CA 95448","Brendan Malm singlehandedly runs Malm Cellars, working the vineyards and making the wines. Visit the winery to chat with the winemaker and enjoy good hospitality as you taste the wines.",No price data available
Manzanita Creek Winery,"1441 A Grove St, Healdsburg CA 95448",The self-taught brothers behind Manzanita strive to make a lasting impression by thinking outside the box with their winemaking. Taste a variety of Zinfandels and award winning wines at the new tasting room.,No price data available
Marimar Estate,"11400 Graton Road, Sebastopol CA 95472",Make an appointment to enjoy tapas and fine wine at this dog-friendly winery with beautiful vineyard views.,No price data available
Martin Ray Winery,"2191 Laguna Road, Santa Rosa CA 95401",Drive past vines and greenery as you enter this tucked away tasting room with a lovely view. Experience an intimate tasting experience with friendly staff.,No price data available
Martinelli Winery & Vineyards,"3360 River Road, Windsor CA 95492","Not to be confused with the sparkling cider company, Martinelli offers a great, welcoming experience. Learn all about the family and vineyards during your tasting at this lovely winery.",No price data available
Martorana Family Winery,"5956 W Dry Creek Rd, Healdsburg CA 95448","This friendly, welcoming winery practices organic farming and has picnic space and bocce ball. Enjoy welcoming hospitality while you taste.",No price data available
Matanzas Creek Winery,"6097 Bennett Valley Road, Santa Rosa CA 95404","We invite you to taste our exquisite wines in an ideal setting for picnics, bocce ball, and our world-renowned lavender field.",No price data available
Matrix Winery,"3291 Westside Road, Healdsburg CA 95448",This dog-friendly winery features beautiful grounds and a lovely patio. The cozy atmosphere and friendly staff will create a personalized tasting experience.,No price data available
Mauritson Wines,"2859 Dry Creed Rd., Healdsburg CA 95448",Experience an intimate setting at this small winery and sit at the bar for a tasting. There’s a nice shaded area outside for picnics.,No price data available
Mayo Family Reserve Room,"9200 Sonoma Highway, Kenwood CA 95452","Taste the reserve label wines while you embark on a food and wine adventure in an intimate setting with art, music, and vineyard views. This exquisite experience is one to be remembered.",No price data available
Mayo Family Winery,"13101 Arnold Drive , Glen Ellen CA 95442","Mayo is a small family owned winery located in the heart of the Sonoma Valley. They do a number of interesting varieties, and will lead you through them in an adventurous tasting.",No price data available
Mazzocco Winery,"1400 Lytton Springs Rd, Healdsburg CA 95448","Visit this gorgeous winery and modern, spacious tasting room with comfortable outdoor seating. The knowledgeable staff provide friendly service and breadsticks to munch on.",No price data available
McEvoy Ranch,"5935 Red Hill Rd, Petaluma CA 94952",Enjoy country living less than hour from San Francisco. Take in the striking beauty of our estate through delightful and intimate tasting experiences.,No price data available
McIlroy Cellars,"6133 Aaron Ct, Windsor CA 95492","This boutique, family-owned winery produces several varietals. Its trademark Chardonnay has won many awards. Contact them for a private tasting at Aquarius Ranch.",No price data available
Meadowcroft Wines,"23574 Arnold Drive, Sonoma CA 95476","This quaint, boutique winery off the beaten path offers friendly service and an educational tasting experience.",No price data available
Medlock Ames Winery,"3487 Alexander Valley Road, Healdsburg CA 95448",This airy tasting room has outdoor seating surrounded by a vegetable garden. Enjoy cheese and tomato pairings with your wine tasting.,No price data available
Meeker Vineyards,"21035 Geyserville Avenue, Geyserville CA 95441",The Meeker Vineyard tasting room is located in the 105-year-old Geyserville Bank building in Geyserville. The Meeker family likes to say they take nothing seriously but the wine itself.,No price data available
Mercury Wine,"21015 Geyserville Avenue, Geyserville CA 95441","This friendly, down-to-earth winery offers a refreshing tasting experience. Enjoy flavorful, affordable wines, chat with the owner and meet Freddie the winery dog.",No price data available
Merriam Vineyards,"11654 Los Amigos Rd., Healdsburg CA 95448","Tour this quaint winery and learn about the winemaking process before your tasting in the air conditioned tasting room, or out on the patio with beautiful views.",No price data available
Merry Edwards Winery,"2959 Gravenstein Highway North, Sebastopol CA 95472","Located in the heart of Russian River Valley near the town of Sebastopol, tastings here educate visitors about Merry's handcrafted Pinot Noir and Sauvignon Blanc.",No price data available
Michel-Schlumberger Wine Estates,"4155 Wine Creek Road, Healdsburg CA 95448","Taste award-winning wines, relax in the ambiance of our luxurious Spanish mission-style private estate and enjoy a variety of exclusive wine country experiences.",No price data available
Mietz Cellars,"602 Limerick Ln, Healdsburg CA 95448","This quaint, family-owned winery will make you feel at home as you taste and chat with the husband and wife winemaking team.",No price data available
Mill Creek Vineyards & Winery,"1401 Westside Road, Healdsburg CA 95448",Your pleasant experience at this unpretentious winery includes a relaxing tasting outside of the rustic building with a modern interior while you listen to the water mill.,No price data available
MoniClaire Vineyards,"1750 Lytton Springs Rd, Healdsburg CA 95448","Step onto the expansive property for a relaxing wine tasting with breathtaking views from the deck. Your visit will include pleasant conversation with the husband and wife winemaking team, Peter and Mary Beth.",No price data available
Montemaggiore,"2355 West Dry Creek Road, Healdsburg CA 95448","This secluded winery is located off the beaten path and may be difficult to find, but is worth the trip. Enjoy an authentic, private experience overlooking Dry Creek. This sustainable winery employs organic and environmentally friendly practices.",No price data available
Moondance Cellars,"4901 Blank Rd, Sebastopol CA 95472","You’ll feel like family as you tour the winery, taste wine, and meet the horses and dogs on the property. Be sure to call ahead and consider bringing a picnic meal to enjoy by the pond.",No price data available
Mountain Terraces Vineyard,"3030 Cavedale Rd, Glen Ellen CA 95442","The 125-acre property and vineyards sit atop the Mayacamas Mountain Range and feature incredible views. They produce world class Cabernet Sauvignons, among other blends.",No price data available
Mounts Family Winery,"3901 Wine Creek Road, Healdsburg CA 95448","With a rustic barn, vintage farm machinery, and sweeping views, you’ll feel like you took a step back in time as you enjoy a relaxing wine tasting experience. This respectable winery simply focuses on producing quality wines.",No price data available
Mueller Winery,"118 North Street, Healdsburg CA 95448",Pinot fans will be delighted by the wines offered at this tasting room located near the Healdsburg Square. The friendly staff will ensure you have a great time.,No price data available
Munselle Vineyards,"3763 Hwy 128, Geyserville CA 95441","Visit this small, family-owned winery by appointment or join the club and participate in fun member events. You’ll be greeted with a warm and friendly welcome by the owners.",No price data available
Muscardini Cellars,"9380 Sonoma Highway, Kenwood CA 95452","Greeted by an old, two-story red schoolhouse and a friendly golden retriever, you’ll enter this quaint, welcoming winery for tasting and fun. Here, you’ll find mostly reds and affordable bottles.",No price data available
Mutt Lynch Winery,"602 Limerick Lane, Healdsburg CA 95448","The friendly and knowledgeable staff at this winery will guide you through an enjoyable tasting experience. With dog-themed wine labels and their support for dog-related charities, it isn’t uncommon to see a dog or two wandering the dog-friendly property.",No price data available
Nalle Winery,"2383 Dry Creek Road, Healdsburg CA 95448","This small, family-run winery greets you with a warm welcome and is open on Saturdays for tastings. You’ll get a sense for the passion and heart that goes into the winemaking process.",No price data available
Nelson Estate,"9200 Sonoma Highway, Kenwood CA 95452","Dedicated to environmentally responsible farming practices, this winery focuses on creative, handcrafted wines. There are plans for a Sonoma Square tasting room.",No price data available
Nicholson Ranch Winery,"4200 Napa Road, Sonoma CA 95476",Expect stunning views of rolling hills and a lovely pond at this gorgeous winery. You can tour the vineyards or relax on the patio while you taste. Be sure to bring a picnic.,No price data available
Novy Family Wines,"981 Airway Court, Suite E & F, Santa Rosa CA 95403",Don’t let the warehouse setting fool you; this winery will wow you with exceptional service and delicious wines. Enjoy personalized service and learn something new from the knowledgeable experts.,No price data available
Obsidian Wine Co.,"23568 Arnold Dr, Sonoma CA 94576",,No price data available
Occidental Road Cellars,"870 Gravenstein Hwy N, Sebastopol CA 95472","This boutique winery has a great family story behind it. You’ll receive a warm welcome as you enter the cute, comfortable tasting room.",No price data available
Old Roma Station,"57 Front St, Healdsburg CA 95448","Just a short walk from Healdsburg Square is Old Roma Station, your one stop shop for wine tasting. It features the wines of several different wineries in a comfortable atmosphere.",No price data available
Old World Winery,"850 River Rd, Fulton CA 95439","Taste wines made with “old world” techniques at this private, family owned winery. Kids will enjoy a visit to the farm where they can see the chickens and pigs.",No price data available
Optima Winery,"101 Grant Ave #F and G, Healdsburg CA 95448","Visit the Tuscan style tasting room to try the limited production Cabernet Sauvignon, Zinfandel, Petite Sirah, and Zinfandel Port produced by this small family winery.",No price data available
Orentano Wines,"3356 Woolsey Rd, Sonoma CA 95492",This small winery tends to its six acres of Pinot Noir grapes to produce flavorful wines that can be found in many local restaurants or ordered online.,No price data available
Ousterhout Wine & Vineyard,"4375 Pine Flat Road, Healdsburg CA 95448","Specializing in Pinot Noir Rosé, Sauvignon Blanc, and Zinfandel, this boutique winery has won many awards and can be found in many local restaurants and wine shops.",No price data available
P.W. Scoggins Wines,"111 Goodwin Ave, Penngrove CA 94951","This winery is located in a barn decorated with interesting artwork. The winemaker, PW, is a generous and welcoming host. Expect good wines and great conversation.",No price data available
Pacific Estates Champagne & World Wines,"401 7th Street, Petaluma CA 94952",This winery specializes in fruit driven wines and also imports and exports wines and Champagnes.,No price data available
Paint Horse Winery,"16510 Arnold Dr, Sonoma CA 95476","With a passion for both wine and Paint Horses and carefully tending to each on the property, this winery focuses on Merlot, Cabernet Sauvignon, Zinfandel, Chardonnay and Sauvignon Blanc.",No price data available
Pangloss Cellars,"35 East Napa Street, Sonoma CA 95476","The beautiful tasting room provides a posh wine tasting experience. Enjoy flights and food pairings, friendly and knowledgeable staff in a comfortable, elegant atmosphere.",No price data available
Papapietro Perry Winery,"4791 Dry Creek Rd., Healdsburg CA 95448","If you love Pinots, you’ll be glad you visited this small winery with friendly staff and excellent flavors. Visit the tasting room daily or come for an event or wine and cheese pairing.",No price data available
Paradise Ridge Winery,"4545 Thomas Lake Harris Drive, Santa Rosa CA 95403",Paradise Ridge Estate winery offers visitors far more than fine wine; it is a Paradise for the senses.Come have a glass of wine (or flight) and relax while taking in the view.,No price data available
Paradise Ridge Winery - Kenwood,"8860 Sonoma Hwy, Kenwood CA 95452","Receive personal attention at this intimate testing room, the smaller of the two Paradise Ridge locations. Explore the sculpture garden as you learn about each of the exceptional wines that you taste.",No price data available
Parmelee-Hill Wines & Vineyards,"1695 Sperring Rd., Sonoma CA 95476",Steve and his son Ned manage the vineyards and sell their grapes to notable wineries. They also produce limited quantities of high-end syrah under their own label.,No price data available
Passaggio Wines,"25 E Napa St, Sonoma CA 95476","Located in the heart of Sonoma's downtown, this is a great place to start your tour through wine country. Passaggio artisan wines are hand crafted to bring you a new generation of fruit forward, terroir driven, food friendly wines.",No price data available
Passalacqua Winery,"3805 Lambert Bridge Road, Healdsburg CA 95448",Taste delicious wines and chat about local history with your friendly host. Wine club members have access to exclusive wines and special events.,No price data available
Pastori Winery,"23189 Geyserville Ave, Cloverdale CA 95425",Pastori Winery is old school Sonoma County at it's best.,No price data available
Patz & Hall,"21200 8th Street East, Sonoma CA 95476","Renowned wines, gorgeous views, an unparalleled visitor experience—discover why Patz & Hall has been named one of the “Top 100 Wineries in the World” six times by Wine & Spirits.",No price data available
Paul Hobbs Wines,"3355 Gravenstein Highway North, Sebastopol CA 95472","Meticulous vineyard management followed by minimally-invasive winemaking techniques allows us to produce wines that express their vineyard origins with finesse, complexity and authenticity.",No price data available
Paul Mathew Vineyards,"9060 Graton Rd, Graton CA 95444",Take the beautiful drive to this small production winery for a unique tasting experience. The spacious tasting room also features souvenirs and snacks for sale.,No price data available
Peay Vineyards,"227 Treadway Dr, Cloverdale CA 95425",Wine moves people. One of the pleasures in making wine is the opportunity to meet like-minded people who are as moved as we are by wine. Throw in a plate of cheese and salumi served in a beautiful environment and sometimes we make lifelong friends.,No price data available
Pech Merle Winery,"24505 Chianti Rd, Cloverdale CA 95425","A boutique, family run winery that has garnered 140 medals, so far. They are dedicated to cultivating and thoughtfully crafting wine in Sonoma county.",No price data available
Pedroncelli Winery,"1220 Canyon Road, Geyserville CA 95441",The gorgeous grounds of this winery welcome you for a tasting. Wander the vineyards or enter the tasting room for friendly service. Be sure to try the port.,No price data available
Pellegrini Wine Company,"4055 W Olivet Rd, Santa Rosa CA 95401","This hidden gem of a winery is located on beautiful property and offers first-class hospitality. Schedule your tour, tasting, or picnic lunch.",No price data available
Pendleton Estate,"21023 Geyserville Ave, Geyserville CA 95441","Bold, colorful wines that make a lasting impression in the Sonoma Valley. Be sure to make an appointment at Pendleton Estates to allow for a very personal and unique tasting experience overlooking the picturesque Sonoma and Mendocino Counties.",No price data available
Peter Cellars,"21708 Broadway, Sonoma CA 95476",Visit this family-run vineyard to learn about the history and meet the winemaker and his friendly dog. Sit on the lovely patio for your tasting and get an educational experience from your host.,No price data available
Peters Family Winery,"2064 Gravenstein Hwy 116 N., Sebastopol CA 95472","Peters Family Winery produces Chardonnay, Pinot Noir, and Cabernet Sauvignon. These highly ranked, single vineyard wines are bottled 100% unfiltered.",No price data available
Peterson Winery,"4791 Dry Creek Road (Building 7), Healdsburg CA 95448","Located off a parking lot with several other tasting rooms, this winery provides an easy-going atmosphere with friendly staff, wandering cats, and barrel tastings.",No price data available
Petroni Vineyards,"990 Cavedale Road, Sonoma CA 95476","Travel up the one-lane road to reach this beautiful property tucked away in the hills. Take a tour, explore the cave, and learn the history while you taste.",No price data available
Pezzi King Tasting Room,"412 Hudson St, Healdsburg CA 95448","Stop by the tasting room and try the award winning wines with the assistance of friendly, personable staff.",No price data available
Pezzi King Winery,"3225 West Dry Creek Road, Healdsburg CA 95448","By appointment, you can visit the gorgeous vineyard and winery located off the beaten path. Enjoy the scenery overlooking the valley while tasting generous pours and eating charcuterie by the pool.",No price data available
Philip Staley Vineyards & Winery,"4791 Dry Creek Road Bldg 11, Healdsburg CA 95448","The wines of this small, family-owned winery can be tasted at Family Wineries Dry Creek tasting room.",No price data available
Pisoni Vineyard & Wines,"3354-A Coffey Ln, Santa Rosa CA 95403","This small production winery is the fruit of wine enthusiast, Gary Pisoni’s labor. Join the mailing list to get your hands on the exclusive Pisoni Estate Pinot Noir. They offer limited visiting appointments for members.",No price data available
Portalupi Wine Co.,"107 North Street, Healdsburg CA 95448","Visit the classy tasting room of this family owned winery for a glass of wine, food and wine pairings, or a tasting. Take home one of their signature milk jugs of table wine.",No price data available
Porter Creek Vineyards,"8735 Westside Road, Healdsburg CA 95448","Step back in time with a visit to this quaint, organic vineyard with chickens wandering the property. You’ll enter the small, rustic tasting room for a great experience with friendly hosts.",No price data available
Porter-Bass Vineyard and Winery,"11750 Mays Canyon Rd, Guerneville CA 95446",Make an appointment for your visit to this small winery. Enjoy an intimate tasting at a bar made of wine barrels and a plank just outside the owners’ house and surrounded by the vineyard.,No price data available
Premonition Cellars,"3360 Coffey Ln, Santa Rosa CA 95403","The passionate winemaker behind Premonition Cellars, founded in 2007, does everything from farming the grapes to making the wine and bottling it.",No price data available
Preston Farm and Winery,"9282 W Dry Creek Rd, Healdsburg CA 95448","Stunning views accompany a unique wine tasting experience at this Dry Creek Valley winery which specializes in Syrah and Zinfandel varietals but also boasts much more. Guests can even purchase eggs, bread, grains, olive oil, and more fresh from the farm.",No price data available
Quarryhill Botanical Garden,"12841 CA-12, Glen Ellen CA 95442","Just off Highway 12 in Glen Ellen, lies one of the most exotic and biologically diverse places in Sonoma Valley. Quarryhill is a wild Asian woodland, featuring one of the largest collections of wild-sourced Asian plants in the world.",No price data available
Quivira Vineyards & Winery,"4900 West Dry Creek Road, Healdsburg CA 95448","Quivira Vineyards grows and produces Zinfandel, Sauvignon Blanc and Rhône varieties, built upon intentional winegrowing and a commitment to Biodynamic and organic farming in Dry Creek Valley.",No price data available
Ram's Gate Winery,"28700 Arnold Drive, Sonoma CA 95476","This winery has picturesque vineyard views and gorgeous, rustic interiors. Order charcuterie with your wine flight and enjoy an upscale, pleasant ambience.",No price data available
Ramazzotti Wines,"21015 Geyserville Ave, Geyserville CA 95441",Taste bold wines with old world Italian influences at this winery that will welcome you with friendly hospitality and provide a lively and fun time.,No price data available
Ramey Wine Cellars,"25 Healdsburg Avenue, Healdsburg CA 95448",Make an appointment for your tasting where you’ll get a very educational wine experience. The intimate tasting room is located on the second floor of the winery warehouse overlooking the vats.,No price data available
Rancho Maria Wines,"481 1st St W, Sonoma CA 95476","Rancho Maria tasting lounge focuses on engaging guests in an in-depth wine conversation, encompassing who th are, how th came to be, and their vision for the future.",No price data available
